idindicador,nomdepto,dato
1,Amazonas,5.5
1,Antioquia,0.6
1,Arauca,2.6
1,Atlántico,0.5
1,Bolívar,1.3
1,Boyacá,4.5
1,Caldas,1.6
1,Caquetá,0.5
1,Casanare,4.6
1,Cauca,1.9
1,Cesar,0.7
1,Chocó,0.7
1,Córdoba,1
1,Cundinamarca,0.7
1,Huila,1.1
1,La Guajira,1.1
1,Magdalena,0.6
1,Meta,2
1,Nariño,3.8
1,Norte de Santander,0.7
1,Putumayo,1.5
1,Quindio,1.1
1,Risaralda,2.1
1,Santander,2.9
1,Sucre,0.5
1,Tolima,3.3
1,Valle del Cauca,1.6
