idindicador,nomindicador,idunidad,nomunidad,iddepto,nomdepto,deplatitud,deplongitud,fecha,fuente,dato
3,Porcentaje de madres con hijos menores de 5 años que recibieron algún tipo de capacitación en lactancia materna,21,Por 100 (%),94,Guainía,2.5,-69,2010,ENSIN,21.2
2,Mediana de la duración de la lactancia materna total ,5,Meses,95,Guaviare,1.6894444,-72.8202778,2010,ENSIN,
3,Porcentaje de madres con hijos menores de 5 años que recibieron algún tipo de capacitación en lactancia materna,21,Por 100 (%),95,Guaviare,1.6894444,-72.8202778,2010,ENSIN,27.3
1,Duración de la lactancia materna exclusiva en menores de 3 años,5,Meses,41,Huila,2.5,-75.75,2010,ENSIN,1.1
2,Mediana de la duración de la lactancia materna total ,5,Meses,41,Huila,2.5,-75.75,2010,ENSIN,17.5
3,Porcentaje de madres con hijos menores de 5 años que recibieron algún tipo de capacitación en lactancia materna,21,Por 100 (%),41,Huila,2.5,-75.75,2010,ENSIN,58.3
1,Duración de la lactancia materna exclusiva en menores de 3 años,5,Meses,44,La Guajira,11.5,-72.5,2010,ENSIN,1.1
2,Mediana de la duración de la lactancia materna total ,5,Meses,44,La Guajira,11.5,-72.5,2010,ENSIN,14.2
3,Porcentaje de madres con hijos menores de 5 años que recibieron algún tipo de capacitación en lactancia materna,21,Por 100 (%),44,La Guajira,11.5,-72.5,2010,ENSIN,29.9
1,Duración de la lactancia materna exclusiva en menores de 3 años,5,Meses,47,Magdalena,10,-74.5,2010,ENSIN,0.6
2,Mediana de la duración de la lactancia materna total ,5,Meses,47,Magdalena,10,-74.5,2010,ENSIN,16.6
3,Porcentaje de madres con hijos menores de 5 años que recibieron algún tipo de capacitación en lactancia materna,21,Por 100 (%),47,Magdalena,10,-74.5,2010,ENSIN,45.1
1,Duración de la lactancia materna exclusiva en menores de 3 años,5,Meses,50,Meta,3.5,-73,2010,ENSIN,2
2,Mediana de la duración de la lactancia materna total ,5,Meses,50,Meta,3.5,-73,2010,ENSIN,17.6
3,Porcentaje de madres con hijos menores de 5 años que recibieron algún tipo de capacitación en lactancia materna,21,Por 100 (%),50,Meta,3.5,-73,2010,ENSIN,41.4
1,Duración de la lactancia materna exclusiva en menores de 3 años,5,Meses,52,Nariño,1.5,-78,2010,ENSIN,3.8
2,Mediana de la duración de la lactancia materna total ,5,Meses,52,Nariño,1.5,-78,2010,ENSIN,16.4
3,Porcentaje de madres con hijos menores de 5 años que recibieron algún tipo de capacitación en lactancia materna,21,Por 100 (%),52,Nariño,1.5,-78,2010,ENSIN,51.2
1,Duración de la lactancia materna exclusiva en menores de 3 años,5,Meses,54,Norte de Santander,8,-73,2010,ENSIN,0.7
2,Mediana de la duración de la lactancia materna total ,5,Meses,54,Norte de Santander,8,-73,2010,ENSIN,15.5
3,Porcentaje de madres con hijos menores de 5 años que recibieron algún tipo de capacitación en lactancia materna,21,Por 100 (%),54,Norte de Santander,8,-73,2010,ENSIN,42.3
1,Duración de la lactancia materna exclusiva en menores de 3 años,5,Meses,86,Putumayo,0.5,-76,2010,ENSIN,1.5
2,Mediana de la duración de la lactancia materna total ,5,Meses,86,Putumayo,0.5,-76,2010,ENSIN,16.8
3,Porcentaje de madres con hijos menores de 5 años que recibieron algún tipo de capacitación en lactancia materna,21,Por 100 (%),86,Putumayo,0.5,-76,2010,ENSIN,31.5
1,Duración de la lactancia materna exclusiva en menores de 3 años,5,Meses,63,Quindio,4.5,-75.6666667,2010,ENSIN,1.1
2,Mediana de la duración de la lactancia materna total ,5,Meses,63,Quindio,4.5,-75.6666667,2010,ENSIN,9.8
3,Porcentaje de madres con hijos menores de 5 años que recibieron algún tipo de capacitación en lactancia materna,21,Por 100 (%),63,Quindio,4.5,-75.6666667,2010,ENSIN,51.2
1,Duración de la lactancia materna exclusiva en menores de 3 años,5,Meses,66,Risaralda,5,-76,2010,ENSIN,2.1
2,Mediana de la duración de la lactancia materna total ,5,Meses,66,Risaralda,5,-76,2010,ENSIN,10.2
3,Porcentaje de madres con hijos menores de 5 años que recibieron algún tipo de capacitación en lactancia materna,21,Por 100 (%),66,Risaralda,5,-76,2010,ENSIN,51.1
1,Duración de la lactancia materna exclusiva en menores de 3 años,5,Meses,68,Santander,7,-73.25,2010,ENSIN,2.9
2,Mediana de la duración de la lactancia materna total ,5,Meses,68,Santander,7,-73.25,2010,ENSIN,15.3
